q	gloss	clean	qtmplt	atmplt	ptag	ntag	count
is it awesome?\nhaha..	e==awesome,joke	is it awesome haha	is {e:it} {emotion:awesome} {joke:haha}	{e:it} is awesome	NULL	NULL	1
it is phenomenal?\nis it*	e==phenomenal	is it phenomenal	is {e:it} {emotion:phenomenal}	{e:it} is phenomenal	NULL	NULL	1
is it closer to "awesome" than to "excited"?	similarity(e,awesome)>similarity(e,excited)	is it closer to awesome than to excited	is {e:it} closer to {emotion:awesome} than to {emotion:excited}	{e:it} is closer to awesome than to excited	NULL	NULL	1
is it something like eager?	similar(e,eager)	is it something like eager	is {e:it} something like {emotion:eager}	{e:it} is something like eager	NULL	NULL	1
do you experience it more because of some other things happen not relating to you directly (meaning compared to when you do something for yourself and then you feel that way)	cause(externalThings,e)	do you experience it more because of some other things happen not relating to you directly meaning compared to when you do something for yourself and then you feel that way	do {experiencer:you} experience {e:it} more because of {situation:some other things happen not relating to {experiencer:you} directly} {clarification:meaning compared to when {experiencer:you} do something for {experiencer:yourself} and then {experiencer:you} feel that way}	 you experience {e:it} more because of some other things happen not relating to you directly meaning compared to when you do something for yourself and then you feel that way	NULL	NULL	1
is it like energetic?	similar(e,energetic)	is it like energetic	is {e:it} like {emotion:energetic}	{e:it} is like energetic	NULL	NULL	1
the reason that you say "no" is it because "energetic" is not "positive" enough(compared to not "activated")	meta-question-head-explodes	NULL	NULL	NULL	NULL	NULL	1
is it usually more activated than "excited"?	usually(e.activation>excited.activation)	is it usually more activated than excited	is {e:it} {modal:usually} more activated than {emotion:excited}	{e:it} is usually more activated than excited	NULL	NULL	1
ok i'll just do random guess\nremarkable?	e==remarkable	ok i will just do random guess remarkable	{interjection:ok} {lame:i will just do random guess} {emotion:remarkable}	NULL	NULL	NULL	1
spectacular	e==spectacular	spectacular	{emotion:spectacular}	NULL	NULL	NULL	1
terrific	e==terrific	terrific	{emotion:terrific}	NULL	NULL	NULL	1
:-(	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
if you had to say the emotion was a colour, would you say it is more like red than blue?	similarity(e,red)>similarity(e,blue)	if you had to say the emotion was a color would you say it is more like red than blue	if you had to say {e:the emotion} was a color would you say {e:it} is more like red than blue	if you had to say {e:the emotion} was a color you would say {e:it} is more like red than blue	NULL	NULL	1
is a person who experiences this emotion less likely to spring into action to do something about this emotion?\n(weird question0	behavior(e,action)	is a person who experiences this emotion less likely to spring into action to do something about this emotion weird question	is {experiencer:a person who experiences this emotion} less likely to spring into action to do something about {e:this emotion} {comment:weird question}	a person who experiences {e:this emotion} is less likely to spring into action to do something about {e:this emotion}	NULL	NULL	1
yeah i was trying to reformulate it...\nsomething like\nis a person experiencing this emotion less likely to get off there but and take measures to improve their condition\nthere -> their\nbut -> butt	behavior(e,actionToImproveCondition)	yeah i was trying to reformulate it something like is a person experiencing this emotion less likely to get off there but and take measures to improve their condition	{interjection:yeah} {comment:i was trying to reformulate it something like} is {experiencer:a person experiencing this emotion} less likely to {behavior:get off {experiencer:their} butt and take measures to improve {experiencer:their} condition}	a person experiencing {e:this emotion} is less likely to get off their butt and take measures to improve their condition	NULL	NULL	1
is a long lasting emotion?\nis it a ...	e.duration==long	is it a long lasting emotion	is {e:it} a {duration:long lasting} emotion	{e:it} is a long lasting emotion	NULL	NULL	1
if you had to choose, would you say it is more of a calm emotion than a violent emotion?	e.activation==low	if you had to choose, would you say it is more of a calm emotion than a violent emotion	{comment:if you had to choose} would you say {e:it} is more of a calm emotion {comparison:than a violent emotion}	if you had to choose, you would say {e:it} is more of a calm emotion than a violent emotion	NULL	NULL	1
is it depressed?	e==depressed	is it depressed	is {e:it} {emotion:depressed}	NULL	NULL	NULL	1
is it bored?	e==boredom	is it bored	is {e:it} {emotion:bored}	NULL	NULL	NULL	2
is it missing a person?	e==MissingSomebody	is it missing a person	is {e:it} {emotion:missing a person}	NULL	NULL	NULL	1
i can rephrase, i think: longing\nis it longing?	e==longing	i can rephrase i think longing is it longing	{comment:i can rephrase i think} {emotion:longing} {clarification:is {e:it} {emotion:longing}}	NULL	NULL	NULL	1
is the emotion felt in relation to another person?	assocated(e,otherPerson)	is the emotion felt in relation to another person	is {e:the emotion} felt in relation to another person	{e:the emotion} is felt in relation to another person	NULL	NULL	1
i feel like i need to narrow it down just a little bit more...\nis it an emotion that is usually hidden from others? (vs. usually expressed to others)	usually(hiddenFromOthers(e))	i feel like i need to narrow it down just a little bit more is it an emotion that is usually hidden from others vs usually expressed to others	{comment:i feel like i need to narrow it down just a little bit more} is {e:it} an emotion that is usually hidden from others {clarification:vs usually expressed to others}	{e:it} is an emotion that is usually hidden from others vs usually expressed to others	NULL	NULL	1
is it sadness?	e==sadness	is it sadness	is {e:it} {emotion:sadness}	NULL	NULL	NULL	4
is it worry i.e. being worried?	e==worry	is it worry ie being worried	is {e:it} {emotion:worry} {clarification:ie {emotion:being worried}}	NULL	NULL	NULL	1
is it being homesick?	e==homesick	is it being homesick	is {e:it} {emotion:being homesick}	NULL	NULL	NULL	1
is it an emotion people experience every day?	e.frequency==regularly	is it an emotion people experience every day	is {e:it} an emotion {experiencer:people} experience {frequency:every day}	{e:it} is an emotion people experience every day	NULL	NULL	1
is it melancholic?	e==melancholic	is it melancholic	is {e:it} {emotion:melancholic}	NULL	NULL	NULL	1
yeah?\nwhat is it?	non-yes-no,giveup	NULL	NULL	NULL	NULL	NULL	1
is it negative?	e.valence==negative	is it negative	is {e:it} negative	{e:it} is negative	NULL	NULL	1
does it include active body movement?	behavior(e,bodyMovement)	does it include active body movement	does {e:it} include {behavior:active body movement}	{e:it} includes active body movement	NULL	NULL	1
is it initiated from other people?\ncan someone else cause that emotion?	can(cause(otherPerson,e))	is it initiated from other people can someone else cause that emotion	is {e:it} initiated from other people {clarification:can someone else {cause:cause} {e:that emotion}}	{e:it} it is initiated from other people someone else can cause that emotion	NULL	NULL	1
can that emotion arise without any initiation (or happenings)?	can(cause(emptySet,e))	can that emotion arise without any initiation or happenings	can {e:that emotion} arise without any initiation or happenings	{e:that emotion} can arise without any initiation or happenings	NULL	NULL	1
is it a feeling that if someone intentionally hit you?	situation(e,somebodyHitYou)	is it a feeling that if someone intentionally hit you	is {e:it} a feeling that if {situation:someone intentionally hit {experiencer:you}}	{e:it} is a feeling if someone intentionally hit you	NULL	NULL	1
is it a feeling that you ate something bad?	situation(e,ateSomethingBad)	is it a feeling that you ate something bad	is {e:it} a feeling that {situation:{experiencer:you} ate something bad}	{e:it} is a feeling that you ate something bad	NULL	NULL	1
Would I feel the emotion when I got F in the exam?	situation(e,getFOnExam)	would i feel the emotion when i got f in an exam	would {experiencer:i} feel {e:the emotion} when {situation:{experiencer:i} got f in an exam}	i would feel {e:the emotion} when i got f in an exam	NULL	NULL	1
is it sad?	e==sadness	is it sad	is {e:it} {emotion:sad}	NULL	NULL	NULL	1
is it frustrated?	e==frustration	is it frustrated	is {e:it} {emotion:frustrated}	NULL	NULL	NULL	2
is it something related to unsatisfaction?	associated(e,unsatisfaction)	is it something related to unsatisfaction	is {e:it} something related to {emotion:dissatisfaction}	{e:it} is something related to unsatisfaction	NULL	NULL	1
is it toward people?	directed(e,otherPeople)	is it toward people	is {e:it} toward {beneficiary:people}	{e:it} is toward people	NULL	NULL	1
is it anxiety?	e==anxiety	is it anxiety	is {e:it} {emotion:anxiety}	NULL	NULL	NULL	1
is it worry?	e==worry	is it worry	is {e:it} {emotion:worry}	NULL	NULL	NULL	1
would i feel this if my best friend died?	situation(e,bestFriendDied)	would i feel this if my best friend died	would {experiencer:i} feel {e:this} if {situation:{experiencer:my} best friend died}	i would feel {e:this} if my best friend died	NULL	NULL	1
remorse?	e==remorse	remorse	{emotion:remorse}	NULL	NULL	NULL	1
would i feel this if i failed an exam?	situation(e,failExam)	would i feel this if i failed an exam	would {experiencer:i} feel {e:this} if {situation:{experiencer:i} failed an exam}	i would feel {e:this} if i failed an exam	NULL	NULL	1
would someone cry if they felt this?	behavior(e,crying)	would someone cry if they felt this	would {behavior:{experiencer:someone} cry} if {experiencer:they} felt {e:this}	someone would cry if they felt {e:this}	NULL	NULL	1
sympathy\n?	e==sympathy	sympathy	{emotion:sympathy}	NULL	NULL	NULL	1
1)is it positive or negative	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
is it low or high activated/	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
3)is it directed towards another person?	directed(e,otherPerson)	3 is it directed towards another person	{qnum:3} is {e:it} directed towards {beneficiary:another person}	{e:it} is directed toward another person	NULL	NULL	1
4)is it more about how one feels about himself?	directed(e,self)	4 is it more about how one feels about himself	{qnum:4} is {e:it} more about how {experiencer:one} feels about {experiencer:himself}	{e:it} is more about how one feels about himself	NULL	NULL	1
5)id it related to sth disappointing?\n*is	associated(e,disappointment)	5 is it related to something disappointing	{qnum:5} is {e:it} related to {situation:something disappointing}	{e:it} is related to something disappointing	NULL	NULL	1
is it related to being in physical pain?	associated(e,physicalPain)	is it related to being in physical pain	is {e:it} related to being in physical pain	{e:it} is related to being in physical pain	NULL	NULL	1
7)mentally tired or confused? (i have no idea about your verb...:-()	associated(e,mentallyTiredConfused)	7 mentally tired or confused i have no idea about your verb :-()	{qnum:7} {emotion:mentally tired} or {emotion:confused} {comment:i have no idea about your verb {emoticon::-()}	{e:it} is mentally tired or confused	NULL	NULL	1
8)is it similar to frustration?	similar(e,frustration)	8 is it similar to frustration	{qnum:8} is {e:it} similar to {emotion:frustration}	{e:it} is similar to frustration	NULL	NULL	1
in the sense that you would feel that of you were frustrated i guess...\nif you would feel that i mean...	non-yes-no,clarification	NULL	NULL	NULL	NULL	NULL	1
9)is it similar to distracted?	similar(e,distracted)	9 is it similar to distracted	{qnum:9} is {e:it} similar to {emotion:distracted}	{e:it} is similar to distracted	NULL	NULL	1
10)similar to disappointed?	similar(e,disappointment)	10 similar to disappointed	{qnum:10} similar to {emotion:disappointed}	{e:it} is similar to disappointed	NULL	NULL	1
11)similar to bored?	similar(e,boredom)	11 similar to bored	{qnum:11} similar to {emotion:bored}	{e:it} is similar to bored	NULL	NULL	1
12)so would you feel like that after a long and difficult day at work	situation(e,after(longDifficultDayAtWork))	12 so would you feel like that after a long and difficult day at work	{qnum:12} so would {experiencer:you} feel {e:like that} after {situation:a long and difficult day at work}	you would feel like {e:that} after a long and difficult day at work	NULL	NULL	1
13)then how about depressed?	e==depressed	13 then how about depressed	{qnum:13} {interjection:then} how about {emotion:depressed}	NULL	NULL	NULL	1
14) is it less severe that depressed, sth like melancholic (i hope that word exists in english)	e==melancholy	14 is it less severe than depressed something like melancholic i hope that word exists in english	{qnum:14} is {e:it} less severe than {emotion:depressed} something like {emotion:melancholic} {comment:i hope that word exists in english}		NULL	NULL	1
1) Is it a positive emotion?	e.valence==positive	1 is it a positive emotion	{qnum:1} is {e:it} a positive emotion	{e:it} is a positive emotion	NULL	NULL	1
2) Is it a strong emotion?	e.activation==high	2 is it a strong emotion	{qnum:2} is {e:it} a strong emotion	{e:it} is a strong emotion	NULL	NULL	1
3) Do you feel it when your team scores a goal?	situation(e,yourTeamScores)	3 do you feel it when your team scores a goal	{qnum:3} do {experiencer:you} feel {e:it} when {situation:{experiencer:your} team scores a goal}	you feel {e:it} when your team scores a goal	NULL	NULL	1
4) Do you feel it when you get your phd?	situation(e,getPhd)	4 do you feel it when you get your phd	{qnum:4} do {experiencer:you} feel {e:it} when {situation:{experiencer:you} get {experiencer:your} phd}	you feel {e:it} when you get your phd	NULL	NULL	1
5) Do you feel it when you get married (or at least you are supposed to feel it :P ) ?\n(when one gets married ... )\n( :P )	situation(e,getMarried)	5 do you feel it when you get married or at least you are supposed to feel it :P when one gets married 	{qnum:5} do {experiencer:you} feel {e:it} when {situation:{experiencer:you} get married} {comment:or at least {experiencer:you} are supposed to feel {e:it} {emoticon::P} when {experiencer:one} gets married}	you feel {e:it} when you get married or at least you are supposed to feel {e:it} :P when one gets married 	NULL	NULL	1
6) Is it enthusiastic?	e==enthusiastic	6 is it enthusiastic	{qnum:6} is {e:it} {emotion:enthusiastic}	NULL	NULL	NULL	1
7) Is it cheerful?	e==cheerful	7 is it cheerful	{qnum:7} is {e:it} {emotion:cheerful}	NULL	NULL	NULL	1
8) So, would you feel it if you are on drugs, e.g., LSD ?\n(if you were)	situation(e,onDrugs)	8 so would you feel it if you are on drugs eg lsd	{qnum:8} so would {experiencer:you} feel {e:it} if {situation:{experiencer:you} are on drugs} {clarification:eg lsd}	you would feel {e:it} if you are on drugs eg lsd	NULL	NULL	1
9) Is it euphoria?	e==euphoria	9 is it euphoria	{qnum:9} is {e:it} {emotion:euphoria}	NULL	NULL	NULL	1
10) Do you feel that when you get the drug "Exstasis" ?\n"Ecstasis"\nI meant ...	situation(e,ecstasyDrug)	10 do you feel that when you get the drug ecstasy	{qnum:10} do {experiencer:you} feel {e:that} when {situation:{experiencer:you} get the drug ecstasy}	you feel {e:that} when you get the drug ecstasy	NULL	NULL	1
11) Is it ecstatic?\n( :P )	e==ecstasy	11 is it ecstatic ( :P )	{qnum:11} is {e:it} {emotion:ecstatic} {emoticon:( :P )}	NULL	NULL	NULL	1
-\nno\nbut you are close maybe i should give it to you	no	NULL	NULL	NULL	NULL	NULL	1
-\nit has to do with sth sudden\nnot exhilarated	no,hint	NULL	NULL	NULL	NULL	NULL	1
-\nyes but a very good surprise\n(it could also affect physically like the drug)\nit is not necassarily a surprise though, its more that its sth sudden	yes,possibly,clarification,hint	NULL	NULL	NULL	NULL	NULL	1
-\nno but delirious is negative\nis more like mentally unstable	no,clarification	NULL	NULL	NULL	NULL	NULL	1
-\nno but let mw look it up to see if it is a synonym\n(my vocabul;ary is not that great, keep that in mind ;-))\nok its really close\nyou got it i think\nit was thrilled	no,uncertainty,yes,done	NULL	NULL	NULL	NULL	NULL	1
is it positive emotion	e.valence==positive	is it positive emotion	is {e:it} positive emotion	{e:it} is a positive emotion	NULL	NULL	1
is it associated with high energy and excitement	associated(e,highEnergy&&excitement)	is it associated with high energy and excitement	is {e:it} associated with high energy and {emotion:excitement}	{e:it} is associated with high energy and excitement	NULL	NULL	1
do people feel that when they are helpless	situation(e,helpless)	do people feel that when they are helpless	do {experiencer:people} feel {e:that} when {situation:{experiencer:they} are helpless}	people feel {e:that} when they are helpless	NULL	NULL	1
is it generally associated with a drooped down face and looking down :D	behavior(e,droopedFaceAndLookingDown)	is it generally associated with a drooped down face and looking down :D	is {e:it} {modal:generally} associated with {behavior:a drooped down face and looking down} {emoticon::D}	{e:it} is generally associated with a drooped down face and looking down	NULL	NULL	1
is it being sad\n?	e==sadness	is it being sad	is {e:it} {emotion:being sad}	NULL	NULL	NULL	1
do people preparing for screening feel that at times\n?	situation(e,prepareForScreening)	do people preparing for screening feel that at times	do situation:{eperiencer:people preparing for screening} feel {e:that} {frequency:at times}	people preparing for screening feel {e:that} at times	NULL	NULL	1
depression\n??	e==depression	depression	{emotion:depression}	NULL	NULL	NULL	1
1. is it positive emotion?	e.valence==positive	1 is it positive emotion	{qnum:1} is {e:it} positive emotion	NULL	NULL	NULL	1
2. would u feel this emotion when you broke up in relationship?	situation(e,brokeUpRelationship)	2 would you feel this emotion when you broke up in relationship	{qnum:2} would {experiencer:you} feel {e:this emotion} when {situation:{experiencer:you} broke up in relationship}	you would feel {e:this emotion} when you broke up in relationship	NULL	NULL	1
3. oh. then it is not salient emotion, is it?	not(salent(e))	3 oh then it is not salient emotion is it	{qnum:3} {interjection:oh} {interjection:then} {e:it} is not salient emotion is {e:it}	NULL	NULL	NULL	1
4. is it rather stationary emotional state than fluctuating?	stationary(e)	4 is it a stationary emotional state rather than fluctuating	{qnum:4} is {e:it} a stationary emotional state rather than fluctuating	{e:it} is a stationary emotional state rather than fluctuating	NULL	NULL	1
umm. is it close to sadness?\n5	similar(e,sadness)	umm is it close to sadness 5	{interjection:umm} is {e:it} close to {emotion:sadness} {qnum:5}	{e:it} is close to sadness	NULL	NULL	1
6. would u in this emotional state when you have concern?	associated(e,haveConcern)	6 would you be in this emotional state when you have concern	{qnum:6} would {experiencer:you} be {e:in this emotional state} when {situation:{experiencer:you} have concern}	you would be in {e:this emotional state} when you have concern	NULL	NULL	1
anxiety?	e==anxiety	anxiety	{emotion:anxiety}	NULL	NULL	NULL	2
is it positive\n?	e.valence==positive	is it positive	is {e:it} positive	NULL	NULL	NULL	1
can it lead to negative emotion	cause(e,negativeEmotion)	can it lead to negative emotion	can {e:it} lead to negative emotion	{e:it} can lead to negative emotion	NULL	NULL	1
is it realted to outcome of some result	associated(e,outcomeOfResult)	is it related to the outcome of some result	is {e:it} related to {situation:the outcome of some result}	{e:it} is related to the outcome of some result	NULL	NULL	1
is it high energy	e.activation==high	is it high energy	is {e:it} high energy	{e:it} is high energy	NULL	NULL	1
is it very obviouson the face when someone has it\nobvious on	e.readabilty==obvious	is it very obvious on the face when someone has it	is {e:it} {behavior:very obvious on the face} when {experiencer:someone} has {e:it}	{e:it} is very obvious on the face when someone has {e:it}	NULL	NULL	1
did u feel that just before the screeing results were out	e&&pEvent(beforeScreeningResults)	did you feel that just before the screeing results were out	did {experiencer:you} feel {e:that} just before {situation:the screeing results were out}	you felt {e:that} just before the screeing results were out	NULL	NULL	1
u felt it after the results\n?\nor can one feel it after such results\n?	(e&&pEvent(afterScreeningResults))||situation(e,afterScreeningResults)	NULL	NULL	NULL	NULL	NULL	1
8 is it related to being determined\nor taking some sort of promise	associated(e,beingDeterminedOrTakingPromise)	8 is it related to being determined or taking some sort of promise	{qnum:8} is {e:it} related to {emotion:being determined} or {situation:taking some sort of promise}	{e:it} is related to being determined or taking some sort of promise	NULL	NULL	1
9 is it close to being disappointed	similar(e,disappointment)	9 is it close to being disappointed	{qnum:9} is {e:it} close to {emotion:being disappointed}	{e:it} is close to being disappointed	NULL	NULL	1
is it more close to being scared	similar(e,scared)	is it more close to being scared	is {e:it} more close to {emotion:being scared}	{e:it} is close to being scared	NULL	NULL	1
is ti close to being concerned	similar(e,concerned)	is it close to being concerned	is {e:it} close to {emotion:being concerned}	{e:it} is close to being concerned	NULL	NULL	1
12 is it close to being embarrassed	similar(e,embarrassment)	12 is it close to being embarrassed	{qnum:12} is {e:it} close to {emotion:being embarrassed}	{e:it} is close to being embarrassed	NULL	NULL	1
13 is it connected to jealously\njealousy	associated(e,jealously)	13 is it connected to jealousy	{qnum:13} is {e:it} connected to {emotion:jealousy}	{e:it} is connected to jealousy	NULL	NULL	1
dislike for the other person\n?	e==dislikeForOtherPerson	dislike for the other person	{emotion:dislike} for {beneficiary:the other person}		NULL	NULL	1
envy?\n:D\n(15)	e==envy	envy :D 15	{emotion:envy} {emoticon::D} {qnum:15}	NULL	NULL	NULL	1
do you feel this way when you're frustrated?	cooccur(e,frustration)	do you feel this way when you are frustrated	do {experiencer:you} feel {e:this way} when {situation:{experiencer:you} are {emotion:frustrated}}	you feel {e:this way} when you are frustrated	NULL	NULL	1
2. do you feel this way when you you do things you enjoy?	situation(e,doThingsYouEnjoy)	2 do you feel this way when you do things you enjoy	{qnum:2} do {experiencer:you} feel {emotion:this way} when {situation:{experiencer:you} do things {experiencer:you} enjoy}	do you feel {e:this way} when you do things you enjoy	NULL	NULL	1
3. do you associate this emotion with femininity?	associated(e,femininity)	3 do you associate this emotion with femininity	{qnum:3} do {experiencer:you} associate {e:this emotion} with femininity	you associate {e:this emotion} with femininity	NULL	NULL	1
4. do you feel this way when you're sad?	cooccur(e,sadness)	4 do you feel this way when you are sad	{qnum:4} do {experiencer:you} feel {e:this way} when {situation:{experiencer:you} are {emotion:sad}}	you feel {e:this way} when you are sad	NULL	NULL	1
5. is this an emotion which is perceived positively in American society?	positivePerceptionInAmericanSociety(e)	5 is this an emotion which is perceived positively in american society	{qnum:5} is {e:this} an emotion which is perceived positively in american society	{e:this} is an emotion which is perceived positively in american society	NULL	NULL	1
6. is this an emotion which some people seem to be incapapble of feeling?	forSome(p)(p.incapableOfFeeling(e))	6 is this an emotion which some people seem to be incapapble of feeling	{qnum:6} is {e:this} an emotion which {experiencer:some people} seem to be incapapble of feeling	{e:this} is an emotion which some people seem to be incapapble of feeling	NULL	NULL	1
7. is this emotion associated with self esteem?	associated(e,selfEsteem)	7 is this emotion associated with self esteem	{qnum:7} is {e:this emotion} associated with self esteem	{e:this emotion} is associated with self esteem	NULL	NULL	1
8. is this emotion associated with the ability to concentrate?	associated(e,abilityToConcentrate)	8 is this emotion associated with the ability to concentrate	{qnum:8} is {e:this emotion} associated with the ability to concentrate	{e:this emotion} is associated with the ability to concentrate	NULL	NULL	1
9. is this emotion associated with distraction?	associated(e,distraction)	9 is this emotion associated with distraction	{qnum:9} is {e:this emotion} associated with {emotion:distraction}	{e:this emotion} is associated with distraction	NULL	NULL	1
10. is this emotion associated with level of interest in an activity?	associated(e,levelOfInterestInAnActivity)	10 is this emotion associated with level of interest in an activity	{qnum:10} is {e:this emotion} associated with level of interest in an activity	{e:this emotion} is associated with level of interest in an activity	NULL	NULL	1
11. is this emotion associated with thoughtfulness?	associated(e,thoughtfulness)	11 is this emotion associated with thoughtfulness	{qnum:11} is {e:this emotion} associated with {emotion:thoughtfulness}	{e:this emotion} is associated with thoughtfulness	NULL	NULL	1
12. is this emotion associated with anticipation?	associated(e,anticipation)	12 is this emotion associated with anticipation	{qnum:12} is {e:this emotion} associated with {emotion:anticipation}	{e:this emotion} is assocated with anticipation	NULL	NULL	1
13. focused?	e==focused	13 focused	{qnum:13} {emotion:focused}	NULL	NULL	NULL	1
reflective?	e==reflective	reflective	{emotion:reflective}	NULL	NULL	NULL	1
obsessive?	e==obsessive	obsessive	{emotion:obsessive}	NULL	NULL	NULL	1
15. begins with a consonant?	beginsWith(e.spelling,consonant)	15 begins with a consonant	{qnum:15} begins with a consonant	{e:it} begins with a consonant	NULL	NULL	1
ends with ful?	endsWith(e.spelling,ful)	ends with ful	ends with ful	NULL	NULL	NULL	1
17. ends with ive?	endsWith(e.spelling,ive)	17 ends with ive	17 ends with ive	NULL	NULL	NULL	1
18. ends with ness?	endsWith(e.spelling,ness)	18 ends with ness	{qnum:18} ends with ness	NULL	NULL	NULL	1
deliberateness?	e==deliberateness	deliberateness	{emotion:deliberateness}	NULL	NULL	NULL	1
drunkeness?	e==drunkeness	drunkeness	{emotion:drunkeness}	NULL	NULL	NULL	1
sobriety doesnt end with 'ness'	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
Do you feel like this when you are at Disneyland?	situation(e,atDisney)	do you feel like this when you are at disneyland	do {experiencer:you} feel {e:like this} when {experiencer:you} are at {situation:disneyland}	you feel {e:like this} when you are at disneyland	NULL	NULL	1
Do you feel like this when you run over a dog with your car?	situation(e,runOverADog)	do you feel like this when you run over a dog with your car	do {experiencer:you} feel {e:like this} when {situation:{experiencer:you} run over a dog with {experiencer:your} car}	you feel {e:like this} when you run over a dog with your car	NULL	NULL	1
Do you feel like this when someone cuts you in line?	situation(e,someoneCutsInLine)	do you feel like this when someone cuts you in line	do {experiencer:you} feel {e:like this} when {situation:someone cuts {experiencer:you} in line}	you feel {e:like this} when you run over a dog with your car	NULL	NULL	1
is it remorse?	e==remorse	is it remorse	is it remorse	NULL	NULL	NULL	1
Do you feel like this when someone close to you dies?	situation(e,someoneCloseDied)	do you feel like this when someone close to you dies	do {experiencer:you} feel {e:like this} when {situation:someone close to {experiencer:you} dies}	you feel {e:like this} when someone close to you dies	NULL	NULL	1
When you steal something from a friend (like when a kid steals a friends toy) do you feel like this?	situation(e,stealSomethingFromAFriend)	when you steal something from a friend like when a kid steals a friends toy do you feel like this	when {situation:{experiencer:you} steal something from a friend {clarification:like when a kid steals a friends toy}} do {experiencer:you} feel {e:like this}	when you steal something from a friend like when a kid steals a friends toy you feel {e:like this}	NULL	NULL	1
How about when a friend gets a brand new car that is much better than yours?	situation(e,friendGetsANewCarThatIsBetterThanYours)	how about when a friend gets a brand new car that is much better than yours	how about when {situation:a friend gets a brand new car that is much better than {experiencer:yours}}	when a friend gets a brand new car that is much better than yours you feel {e:like this}	NULL	NULL	1
When you do an enjoyable activity do you feel like this at any point before, during or after?	situation(e,enjoyableActivity)	when you do an enjoyable activity do you feel like this at any point before during or after	when {situation:{experiencer:you} do an enjoyable activity} do {experiencer:you} feel {e:like this} at any point {clarification:before during or after}	when you do an enjoyable activity you feel {e:like this} at some point before during or after	NULL	NULL	1
Do you feel like this when someone gives you a gift you were not expecting?	situation(e,receiveUnexpectedGift)	do you feel like this when someone gives you a gift you were not expecting	do {experiencer:you} feel {e:like this} when {situation:someone gives {experiencer:you} a gift {experiencer:you} were not expecting}	you feel {e:like this} when someone gives you a gift you were not expecting	NULL	NULL	1
There is a sound that does not let you sleep at night at your apartment do you feel like this in reaction to this noise?	situation(e,soundAtNight)	there is a sound that does not let you sleep at night at your apartment do you feel like this in reaction to this noise	{situation:there is a sound that does not let {experiencer:you} sleep at night at {experiencer:your} apartment} do {experiencer:you} feel {e:like this} {caused-by:in reaction to} this {ref:noise}	there is a sound that does not let you sleep at night at your apartment you feel {e:like this} in reaction to this noise	NULL	NULL	1
is the feeling annoyed?	e==annoyance	is the feeling annoyed	is {e:the feeling} {emotion:annoyed}	NULL	NULL	NULL	1
does waiting in line make you feel like this?	situation(e,waitingInLine)	does waiting in line make you feel like this	does {situation:waiting in line} {cause:make} {experiencer:you} feel {e:like this}	waiting in line make you feel {e:like this}	NULL	NULL	1
Something happens (a plate breaks) and there is nothing you can do about it do you feel like this in reaction to the situation?	situation(e,plateBreaks)	something happens a plate breaks and there is nothing you can do about it do you feel like this in reaction to the situation	{situation:something happens a plate breaks and there is nothing {experiencer:you} can do about it} do {experiencer:you} feel {e:like this} {caused-by:in reaction to} the situation	something happens a plate breaks and there is nothing you can do about it you feel {e:like this} in reaction to the situation	NULL	NULL	1
You are walking through South Central very late with your very expensive laptop and you see a stranger quickly moving towards you, do you feel like this when that happens/\n?\nif*	situation(e,inSouthCentralAtNightCarryingLaptopEncounterStranger)	you are walking through south central very late with your very expensive laptop and you see a stranger quickly moving towards you do you feel like this when that happens	{situation:{experiencer:you} are walking through south central very late with {experiencer:your} very expensive laptop and {experiencer:you} see a stranger quickly moving towards {experiencer:you}} do {experiencer:you} feel {e:like this} when that happens	you are walking through south central very late with your very expensive laptop and you see a stranger quickly moving towards you and you feel {e:like this} when that happens	NULL	NULL	1
fear?	e==fear	fear	{emotion:fear}	NULL	NULL	NULL	2
you are about to find out if you got into USC you have the envelope in your hand do you feel like this right before you open the envelope?	situation(e,openingCollegeApplicationResultLetter)	you are about to find out if you got into usc you have the envelope in your hand do you feel like this right before you open the envelope	{situation:{experiencer:you} are about to find out if {experiencer:you} got into usc {experiencer:you} have the envelope in {experiencer:your} hand} do {experiencer:you} feel {e:like this} right before {situation:{experiencer:you} open the envelope}	you are about to find out if you got into your favorite college you have the envelope in your hand do you feel {e:like this} right before you open the envelope	NULL	NULL	1
nervousness\n?	e==nervousness	nervousness	{emotion:nervousness}	NULL	NULL	NULL	1
Do you feel like this when there is a big event coming up and you "cant wait" for it to happen	situation(e,bigEventComingUpYouCantWait)	do you feel like this when there is a big event coming up and you cant wait for it to happen	do {experiencer:you} feel {e:like this} when {situation:there is a big event coming up and {experiencer:you} cant wait for it to happen}	you feel {e:like this} when there is a big event coming up and you cant wait for it to happen	NULL	NULL	1
how about anxious?\nis it the feeling?	e==anxiety	how about anxious is it the feeling	how about {emotion:anxious} is it {e:the feeling}	NULL	NULL	NULL	1
no what is it?	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
is it an emotion that makes you feel good?	cause(e,feelGood)	is it an emotion that makes you feel good	is {e:it} an emotion that {cause:makes} {experiencer:you} feel good	{e:it} is an emotion that makes you feel good	NULL	NULL	4
